"hello, what's up",1691614309.0837972
user,kfbjd vnh,1691615557.689184
chatbot,I've got 4 eggs.,1691615557.689184
user,kjbfksdvhb,1691615677.060314
chatbot,I've got 1 eggs.,1691615677.060314
user,jyfchjgu,1691615822.4260674
chatbot,I've got 2 eggs.,1691615822.4260674
user,jvhgchgchg,1691615891.7434082
chatbot,I've got 1 eggs.,1691615891.7434082
user,dhdrhbfcb,1691615896.5320704
chatbot,I've got 8 eggs.,1691615896.5320704
user,g egbgfnfghstfg b,1691615900.7080324
chatbot,I've got 10 eggs.,1691615900.7080324
user,gtgbgcvbfgbgbgb,1691615905.4497476
chatbot,I've got 1 eggs.,1691615905.4497476
user,ksjg vdsjbv ,1691616275.771943
chatbot,I've got 2 eggs.,1691616275.771943
user, fvdvds,1691616299.5906813
chatbot,I've got 1 eggs.,1691616299.5906813
user,mcv dzh c,1691616362.9331827
chatbot,I've got 2 eggs.,1691616362.9331827
user,dvdv,1691616512.7481925
chatbot,I've got 7 eggs.,1691616512.7481925
user,"v v, ",1691616582.3509676
chatbot,I've got 6 eggs.,1691616582.3509676
user,dsvds,1691616670.3842974
chatbot,I've got 7 eggs.,1691616670.3842974
user,svfvf,1691616767.2843294
chatbot,I've got 1 eggs.,1691616767.2843294
user,jv kdjv k,1691616783.945294
chatbot,I've got 8 eggs.,1691616783.945294
user,svjbsdfjkvb,1691616878.973696
chatbot,I've got 0 eggs.,1691616878.973696
user,"a,fv sdkjvb",1691616905.7850082
chatbot,I've got 8 eggs.,1691616905.7850082
user,snfksejbgf,1691617019.1236558
chatbot,I've got 5 eggs.,1691617019.1236558
user,kjfbsrkhgbksehdb,1691617026.931089
chatbot,I've got 8 eggs.,1691617026.931089
user,jvbkdsjvb,1691792442.4313817
chatbot,I've got 2 eggs.,1691792442.446841
user,,1691792444.1994638
chatbot,I've got 9 eggs.,1691792444.1994638
user,bkbjbjb,1691792576.1644876
chatbot,I've got 1 eggs.,1691792576.1644876
user,nvkdfsjvnkd,1691792668.0716107
chatbot,I've got 7 eggs.,1691792668.0716107
user,fuck you,1691793793.6203682
chatbot,I've got 0 eggs.,1691793793.6203682
user,lsknfldrn,1691794095.545759
chatbot,I've got 8 eggs.,1691794095.545759
user,guck,1691794750.8595238
chatbot,I've got 2 eggs.,1691794750.8595238
user,svf,1691795365.3253999
chatbot,I've got 10 eggs.,1691795365.3253999
user,fuck you,1691795511.8481472
chatbot,I've got 2 eggs.,1691795511.8481472
user,shit,1691795518.4094372
chatbot,I've got 0 eggs.,1691795518.4094372
user,dfbvgdbtr,1691795521.5838747
chatbot,I've got 0 eggs.,1691795521.5838747
user,vfddddddddddddddddddd,1691795527.158049
chatbot,I've got 5 eggs.,1691795527.158049
user,fuck off,1691849180.4606075
chatbot,I've got 10 eggs.,1691849180.4842696
user,fuck you,1691849186.997787
chatbot,I've got 8 eggs.,1691849186.997787
user,fuck no,1691849194.101138
chatbot,I've got 5 eggs.,1691849194.101138
user,fuck you,1691852728.3751843
chatbot,I've got 3 eggs.,1691852728.3751843
user,shit,1691852737.309544
chatbot,I've got 4 eggs.,1691852737.309544
user,shit,1691852789.240981
chatbot,I've got 6 eggs.,1691852789.240981
user,why,1691852796.7125642
chatbot,I've got 8 eggs.,1691852796.7125642
user,"idhksafbksd,nf",1691852848.0785708
chatbot,I've got 9 eggs.,1691852848.0785708
user,sdvf,1691852853.919588
chatbot,I've got 2 eggs.,1691852853.919588
user,magbkdrjbh,1691853228.7447884
chatbot,I've got 0 eggs.,1691853228.7447884
user,msbrjbglitji4jtwj,1691853236.8290467
chatbot,I've got 7 eggs.,1691853236.8290467
user,jbgksrjgbrd,1691853240.770631
chatbot,I've got 3 eggs.,1691853240.770631
user,osugbdrbg,1691853272.007335
chatbot,I've got 4 eggs.,1691853272.007335
user,jtbskbykrbykhb,1691853280.26106
chatbot,I've got 4 eggs.,1691853280.26106
user,fffffffffffffffffffff,1691853290.4844012
chatbot,I've got 1 eggs.,1691853290.4844012
user,shut,1691853554.6651416
chatbot,I've got 3 eggs.,1691853554.6651416
user,fdgdf,1691853558.3951921
chatbot,I've got 10 eggs.,1691853558.3951921
user,bfffffffffffffffffffff,1691853562.337257
chatbot,I've got 9 eggs.,1691853562.337257
user,kajdkasf,1691863815.17931
chatbot,I've got 0 eggs.,1691863815.17931
user,ajfbdskjbv,1691863818.6492527
chatbot,I've got 6 eggs.,1691863818.6572192
user,sljjkbjv,1691863822.7244275
chatbot,I've got 4 eggs.,1691863822.7244275
user,fuck,1691863866.6791322
chatbot,I've got 5 eggs.,1691863866.6791322
user,hhjyg,1691863876.5388682
chatbot,I've got 6 eggs.,1691863876.5388682
user,jgbkdfjgbsjfnzn,1691864099.980708
chatbot,I've got 0 eggs.,1691864099.980708
user,jbvksdjbkvjdxn,1691864104.5359755
chatbot,I've got 2 eggs.,1691864104.5359755
user,"ljbvkfjvbksdnmc,",1691864109.2540798
chatbot,I've got 4 eggs.,1691864109.2540798
user,shittttttttttttt,1691864116.5315323
chatbot,I've got 9 eggs.,1691864116.5315323
user,whyyyyyyyyyyyy,1691864129.376756
chatbot,I've got 5 eggs.,1691864129.376756
user,why,1691864205.543374
chatbot,I've got 5 eggs.,1691864205.543374
user,because,1691864210.0939298
chatbot,I've got 0 eggs.,1691864210.0939298
user,mice,1691864215.0092566
chatbot,I've got 2 eggs.,1691864215.0169587
user,hi,1691864350.9847145
chatbot,I've got 0 eggs.,1691864350.9847145
user,okay,1691864355.1700344
